"# of Use","Anzahl der Verwendungen"
"%1$s incl tax.","%1$s inkl. Steuern."
"%s - %s","%s - %s"
"%s Item(s)","%s Artikel"
"%s and above","%s und höher "
"%s-%s of %s","%s-%s von %s"
"Catalog New Products List","Katalog - Liste neuer Artikel"
"Catalog Price Scope","Katalogpreis-Gültigkeit"
"Catalog Product Compare List","Katalogartikel-Vergleichsliste"
"Catalog Product Email to a Friend","Artikel per E-Mail an einen Freund"
"Catalog Product Image Gallery Popup","Katalogartikel-Galerie-PopUp"
"Catalog Product Link","Katalogartikel Link"
"Catalog Product View (Any)","Katalog-Artikelansicht (jede)"
"Catalog Product View (Configurable)","Katalog-Artikelansicht (Konfigurierbare)"
"Catalog Product View (Grouped)","Katalog-Artikelansicht (Gruppiert)"
"Catalog Product View (Simple)","Katalog-Artikelansicht (Einfach)"
"Catalog Product View (Virtual)","Katalog-Artikelansicht (Virtuell)"
"Catalog Section","Katalogbereich"
"Catalog Seo Sitemap (Category List)","Katalog SEO Sitemap (Kategorie Liste)"
"Catalog Seo Sitemap (Category Tree)","Katalog SEO Sitemap (Kategorie Baum)"
"Catalog Seo Sitemap (Common)","Katalog SEO Sitemap (gemeinsam)"
"Catalog Seo Sitemap (Product List)","Katalog SEO Sitemap (Artikel Liste)"
"Catalog URL Rewrites","Katalog-URL-Rewrites"
"Catalog product custom option values API","Katalogartikel-Individualisierungs-Optionswerte API"
"Catalog product custom options API","Katalogartikel-Individualisierungs-Optionen API"
"Catalog, Search","Katalog, Suche"
"Categories","Kategorien"
"Categories Sitemap","Kategorie Sitemap"
"Category","Kategorie"
"Category API","Kategorien-API"
"Category Data","Kategoriedaten"
"Category Flat Data","Kategorie Flat-Daten"
"Category Link Block Template","Kategorie Link - Blockvorlage"
"Category Link Inline Template","Kategorie Link - Inlinevorlage"
"Category Products","Artikel dieser Kategorie"
"Category Top Navigation","Kategorie Top-Navigation"
"Category URL Suffix","Kategorie URL-Suffix"
"Category attributes API","Kategorie Merkmal-API"
"Category move error","Fehler beim Verschieben der Kategorie"
"Category move error %s","Fehler beim Verschieben der Kategorie: %s"
"Category move operation is not possible: parent category is equal to child category.","Verschieben der Kategorie ist nicht möglich, da die übergeordnete Kategorie der untergeordneten Kategorie gleicht."
"Category move operation is not possible: the current category was not found.","Verschieben der Kategorie ist nicht möglich, da die aktuelle Kategorie nicht gefunden wurde."
"Category move operation is not possible: the new parent category was not found.","Verschieben der Kategorie ist nicht möglich, da die neue übergeordnete Kategorie nicht gefunden wurde."
"Category must be an instance of Mage_Catalog_Model_Category.","Kategorie muss eine Instanz von Mage_Catalog_Model_Category sein."
"Center","Mittig"
"Change","Ändern"
"Change or Retrieve attribute store view","Merkmal Ladenansicht ändern oder abfragen"
"Change status","Status ändern"
"Check items to add to the cart or","Wählen Sie die Artikel aus, die dem Warenkorb hinzugefügt werden sollen oder"
"Choose an Option...","Option wählen …"
"Clear All","Alles entfernen"
"Clear Price","Preis leeren"
"Click for price","Klicken für Preis"
"Close Window","Fenster schließen"
"Collapse All","Zuklappen"
"Comma-separated.","Komma-getrennt."
"Comparable","Vergleichbar"
"Comparable on Front-end","Für Vergleichsliste verwenden"
"Comparable on the Frontend","Für Vergleichsliste verwenden"
"Compare","Vergleichen"
"Compare Products","Artikel vergleichen"
"Conditions Combination","Bedingungs-Kombination"
"Configurable Product","Konfigurierbarer Artikel"
"Configurable Product Settings","Einstellungen für konfigurierbare Artikel"
"Configure Product","Konfigurierbarer Artikel"
"Continue","Fortsetzen"
"Copy From Configurable","Von konfigurierbarem Artikel kopieren"
"Country/State","Bundesland"
"Create","Anlegen"
"Create (Upload)","Erstelle (Hochladen)"
"Create Empty","Leeren Artikel erstellen"
"Create Permanent Redirect for URLs if URL Key Changed","Permanente Weiterleitung (301) für URLs anlegen, wenn sich der URL-Key (Seitenbezeichner) geändert hat"
"Create Permanent Redirect for old URL","Permanente Weiterleitung (301) für die alte URL anlegen"
"Create Product Settings","Artikeleinstellungen anlegen"
"Create Simple Associated Product","Einfachen, verknüpften Artikel anlegen"
"Create attribute set based on another set","Merkmalgruppe basierend auf bestehender Merkmalgruppe erstellen"
"Create new attribute","Neues Merkmal"
"Create new category","Neue Kategorie"
"Create new product","Neuer Artikel"
"Cross-sells","Querverkäufe"
"Currently Shopping by:","Filtern nach:"
"Custom Design","Eigene Gestaltung"
"Custom Options","Individualisierungsoptionen"
"Custom options","Individualisierungsoptionen"
"Customer Group","Kundengruppe"
"Customers Reviews","Kundenmeinungen"
"Customers Tagged Product","Kunden, die Schlagworte vergeben haben"
"Data Type for Saving in Database","Daten-Typ zum Speichern in der Datenbank"
"Date & Time Custom Options","Datum- und Zeitanzeige bei Individualisierungs&shy;optionen im Frontend"
"Date Fields Order","Reihenfolge der Datumsfelder"
"Date Subscribed","Anmeldedatum"
"Datetime","Datum/Zeit"
"Decimal","Dezimalzahl"
"Declare attribute value saving scope","Bestimme Speicherbereich der Werte des Merkmals"
"Default ""What's This"" Text Message","""Was ist das?""-Textnachricht (voreingestellt)"
"Default Popup Text Message","Popup-Textnachricht (voreingestellt)"
"Default Price","Preis (voreingestellt)"
"Default Price Navigation Step","Preis Navigationsschritt (voreingestellt)"
"Default Qty","Menge (voreingestellt)"
"Default Values","Werte (voreingestellt)"
"Defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","Definiert den Gültigkeitsbereich der Basis-Währung (""Einrichten der Währung"" > ""Währungsoptionen"" > ""Basis-Währung"")."
"Delete","Löschen"
"Delete Attribute","Merkmal löschen"
"Delete Attribute Set","Merkmalgruppe löschen"
"Delete Category","Kategorie löschen"
"Delete Group Price","Gruppenpreis löschen"
"Delete Option","Option löschen"
"Delete Row","Zeile löschen"
"Delete Search","Suche löschen"
"Delete Selected Group","Ausgewählte Gruppe löschen"
"Delete Tier","Staffelpreis löschen"
"Delete attribute","Merkmal löschen"
"Delete category","Kategorie löschen"
"Delete product","Artikel löschen"
"Depends on design theme","Abhängig von der Gestaltungsvorlage"
"Description","Beschreibung"
"Design","Design"
"Details","Details"
"Disabled","Deaktiviert"
"Disallowed file format.","Nicht erlaubtes Datei-Format."
"Disallowed file type.","Nicht erlaubter Datei-Typ."
"Disalollowed file format.","Nicht erlaubtes Datei-Format."
"Display Actual Price","Tatsächlichen Preis anzeigen"
"Display Page Control","Seitensteuerung anzeigen"
"Display Price Interval as One Price","Preisintervall als Einzelpreis darstellen"
"Display Product Count","Artikelanzahl anzeigen"
"Display Product Options In","Artikeloptionen anzeigen in"
"Display Type","Anzeigeart"
"Display in Suggested Terms","Zeige in vorgeschlagenen Begriffen"
"Double click on a group to rename it","Klicken Sie doppelt auf eine Gruppe, um diese umzubenennen"
"Double click on above image to view full picture","Klicken Sie doppelt auf das obere Bild, um es in voller Größe zu sehen"
"Downloadable Information","Download-Information"
"Duplicate","Duplikat"
"Duplicate amount found.","Betrag wurde doppelt gefunden."
"Duplicate website group price customer group.","Doppelter Eintrag für Kundengruppen-Gruppenpreis auf Webseiten-Ebene."
"Duplicate website tier price customer group and quantity.","Doppelter Eintrag für Kundengruppen-Staffelpreis und Menge auf Webseiten-Ebene."
"Duplicate website, country and state tax found.","Doppelter Eintrag für Webseite, Bundesland und Land - Steuern gefunden."
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","Z.B. {{media url=""pfad/zum/bild.jpg""}} {{skin url=""pfad/zum/bild.gif""}}. Dynamische Pfade haben negative Auswirkungen auf die Katalog-Performance."
"Edit","Bearbeiten"
"Edit Attribute Set '%s'","Merkmalgruppe '%s' bearbeiten"
"Edit Product Attribute","Artikelmerkmal bearbeiten"
"Edit Product Attribute ""%s""","Artikelmerkmal ""%s"" bearbeiten"
"Edit Search","Suche bearbeiten"
"Edit Search '%s'","Suche '%s' bearbeiten"
"Edit Set Name","Gruppenamen bearbeiten"
"Email","E-Mail"
"Email to a Friend","E-Mail an einen Freund"
"Empty","Leer"
"Enable MAP","UVP aktivieren"
"Enable Qty Increments","Verpackungseinheiten verwenden"
"Enable Recurring Profile","Wiederkehrendes Profil verwenden"
"Enable WYSIWYG","WYSIWYG aktivieren"
"Enable for reindexing a big number of SKUs.","Aktivieren, um eine große Anzahl von Artikeln zu reindizieren."
"Enabled","Aktiviert"
"Error during retrieval of option value: %s","Fehler beim Abfragen des Optionswertes: %s"
"Example format: 200x300.","Beispielformat: 200x300."
"Exclude","Nicht in Galerie"
"Expand All","Aufklappen"
"Failed","Fehlgeschlagen"
"Failed to copy file %s. Please, delete media with non-existing images and try again.","Fehler beim Kopieren der Datei %s. Bitte löschen Sie Medien mit nicht existierenden Bildern und versuchen Sie es erneut."
"Failed to move file: %s","Fehler beim Verschieben der Datei: %s"
"Feature Products","Besonders präsentierte Artikel"
"Field is not complete","Feld ist nicht vollständig"
"File options format is not valid.","Datei-Optionen-Format ist ungültig."
"File upload failed","Hochladen der Datei ist fehlgeschlagen."
"Filter","Filter"
"Filter model name must be declared.","Filter-Modellname muss angegeben werden."
"Filter must be an object. Please set correct filter.","Filter muss ein Objekt sein. Bitte setzen Sie den korrekten Filter."
"Filterable (no results)","Filterbar (keine Artikelanzahl)"
"Filterable (with results)","Filterbar (mit Artikelanzahl)"
"First Name","Vorname"
"Fixed","Festkosten"
"For internal use.","Zur internen Verwendung."
"For the last time placed.","Zum letzten mal angegeben."
"Frontend","Shop"
"Frontend Model","Shop-Modell"
"Frontend Properties","Shop-Eigenschaften"
"Gallery","Galerie"
"General Information","Allgemeine Information"
"Get full information about attribute with list of options","Alle verfügbaren Informationen des Merkmals inklusive aller Optionen abfragen."
"Get full information about custom option in product","Alle verfügbaren Informationen über Individualisierungs&shy;optionen des Artikels abfragen."
"Get list of available custom option types","Liste aller Typen für Individualisierungs&shy;optionen abfragen."
"Get list of non-default attributes by product type and attributes set","Liste aller nicht-standard Merkmale nach Artikelart und Merkmalgruppe abfragen."
"Get list of possible attribute types","Liste aller möglichen Merkmalarten abfragen"
"Get special price","Sonderpreis anzeigen"
"Global","Global"
"Globally Editable","Global bearbeitbar"
"Go to Home Page","Zur Startseite"
"Grid","Gitter"
"Group Price","Gruppenpreis"
"Group add","Gruppe hinzufügen"
"Group remove","Gruppe entfernen"
"Grouped Product","Gruppierte Artikel"
"Groups","Gruppen"
"HTML tags are not allowed in SKU attribute.","HTML-Tags sind im SKU-Merkmal nicht erlaubt."
"Home","Startseite"
"ID","ID"
"ID: %s","ID: %s"
"If empty, the Category Name will be used","Wenn leer, wird der Kategoriename verwendet"
"If empty, the Product Name will be used","Wenn leer, wird der Artikelname verwendet"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Wenn Sie keinen Optionswert für eine spezielle Ladenansicht angeben, wird der Standardwert aus der Spalte (Admin) verwendet."
"Image","Bild"
"Image content is not valid base64 data.","Bildinhalt enthält keine gültigen base64-Daten."
"Image does not exist.","Bild existiert nicht."
"Image file was not found.","Bild wurde nicht gefunden."
"Image type and information need to be specified for each store view.","Bildtyp und -information muss für jede Ladenansicht separat hinterlegt werden."
"In Cart","Im Warenkorb"
"In Stock","Auf Lager"
"In stock","Auf Lager"
"Incl. Tax","Inkl. Steuern"
"Index product and categories URL rewrites","Indizierung von Artikel- und Kategorie-URL-Rewrites"
"Index product attributes for layered navigation building","Indizierung von Artikel-Merkmalen zum Aufbau der Filternavigation"
"Index product prices","Indizierung von Artikelpreisen"
"Indexed category/products association","Indizierung von Kategorie&Artikel-Beziehungen"
"Info","Info"
"Info Column Options Wrapper","Optionsbox in Infospalte"
"Input Type","Eingabetyp"
"Integer","Ganzzahl"
"Interval Division Limit","Preisschritte Teilungsbeschränkung"
"Invalid Tier Prices","Ungültige Staffelpreise"
"Invalid attribute %s","Merkmal %s ungültig"
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Ungültige Merkmaloption für Merkmal %s (%s) angegeben, Zeile wird übersprungen."
"Invalid attribute set specified, skipping the record.","Ungültiges Merkmalgruppe angegeben, Eintrag wird übersprungen."
"Invalid block: %s.","Ungültiger Block: %s."
"Invalid category IDs.","Ungültige Kategorie-IDs."
"Invalid category.","Ungültige Kategorie."
"Invalid custom option(s).","Ungültige benutzerdefinierte Option(en)."
"Invalid image file type.","Ungültiger Bild-Dateityp."
"Invalid image type.","Ungültiger Bildtyp."
"Invalid option ID specified for %s (%s), skipping the record.","Ungültige Option-ID für %s (%s) angegeben, Zeile wird übersprungen."
"Invalid product type specified, skipping the record.","Ungültige Artikelart angegeben, Zeile wird übersprungen."
"Invalid store specified","Ungültiger Laden angegeben"
"Invalid store specified, skipping the record.","Ungültiger Laden angegeben, Eintrag wird übersprungen."
"Invalid tier prices. The product is not associated to the requested website.","Ungültige Staffelpreise. Der Artikel ist der angeforderten Webseite nicht zugeordnet."
"Inventory","Lagerverwaltung"
"Is Active","Ist aktiv"
"Is Anchor","Ist Anker"
"Is Default","Ist Vorgabewert"
"Is Product Available for Purchase with Google Checkout","Ist Artikel verfügbar zum Verkauf über Google Checkout"
"Is Required","Ist erforderlich"
"Items %s to %s of %s total","Artikel %s bis %s von %s gesamt"
"Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store.","Artikel die nicht im Katalog und in den Suchergebnissen angezeigt werden sollen, sollten den Status 'Inaktiv' im gesamten Laden haben."
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Artikel, die nicht im Katalog oder der Suche erscheinen sollen, sollten im jeweiligen Laden deaktiviert werden."
"Keep your eyes open for our special Back to School items and save A LOT!","Achten Sie auf unsere speziellen ""Zurück in die Schule""-Artikel und SPAREN Sie!"
"Label","Bezeichnung"
"Last Name","Nachname"
"Last Notification","Letzter Hinweis"
"Layered Navigation","Filternavigation"
"Learn More","mehr dazu"
"Line %d, Email: %s","Zeile %d, E-Mail: %s"
"Line %d, SKU: %s","Zeile %d, Artikelnummer: %s"
"Link (Related, Up sell, Cross sell)","Link (Ähnliches, Up-Selling, Cross-Selling)"
"Link product does not exist.","Link Artikel existiert nicht."
"Link to a Specified Category","Verlinkung auf eine bestimmte Kategorie"
"Link to a Specified Product","Verlinkung auf ein bestimmten Artikel"
"List","Liste"
"List Mode","Liste"
"List of Products that are set as New","Liste von Artikeln, die als NEU gekennzeichnet sind"
"List of types","Liste aller Typen"
"Manage Attribute Sets","Merkmalgruppen verwalten"
"Manage Attributes","Merkmale verwalten"
"Manage Catalog Categories","Katalogkategorien verwalten"
"Manage Categories","Kategorien verwalten"
"Manage Label / Options","Bezeichnungen/Optionen verwalten"
"Manage Options (values of your attribute)","Optionen (Werte Ihres Merkmals) verwalten"
"Manage Product Attributes","Artikelmerkmale verwalten"
"Manage Product Sets","Artikelgruppen verwalten"
"Manage Products","Artikel verwalten"
"Manage Stock","Lagerbestand verwalten"
"Manage Titles (Size, Color, etc.)","Bezeichnungen verwalten (Größe, Farbe, etc.)"
"Manufacturer's Suggested Retail Price","Unverbindlicher Verkaufspreis (UVP)"
"Max Characters","Maximale Anzahl Zeichen"
"Maximal Depth","Maximale Tiefe"
"Maximum Image Size","Maximale Bildgröße"
"Maximum Number of Price Intervals","Maximale Anzahl an Preisschritten"
"Maximum Qty Allowed in Shopping Cart","Höchstbestellmenge"
"Maximum allowed image size for '%s' is %sx%s px.","Maximal zulässige Bildgröße für '%s' ist %sx%s px."
"Maximum image height","Maximale Bildhöhe"
"Maximum image width","Maximale Bildbreite"
"Maximum number of characters:","Maximale Anzahl von Ziffern oder Zeichen:"
"Maximum number of price intervals is 100","Die maximale Anzahl an Preisschritten ist 100."
"Maximum resolution for upload image","Maximale Auflösung für das hochzuladende Bild"
"Maximum width and height dimension for upload image is %s.","Maximale Breite und Höhe für das hochzuladende Bild ist %s."
"Maximum width and height resolutions for upload image","Maximale Auflösung für Breite und Höhe für das hochzuladende Bild"
"Maximum width base product image will be scaled down to in pixels","Maximalbreite in Pixeln, auf die das Artikel-Detailbild herunterskaliert wird"
"Maximum width small product image will be scaled down to in pixels","Maximalbreite in Pixeln, auf die das Artikel-Kategoriebild herunterskaliert wird"
"Media Image","Bild"
"Middle Name","Mittelname"
"Minimum Advertised Price","Unverbindliche Preisempfehlung"
"Minimum Lines per Page","Minimale Zeilenanzahl pro Seite"
"Minimum Qty Allowed in Shopping Cart","Mindestbestellmenge"
"Minimum Qty for Item\'s Status to be Out of Stock","Stückzahl für ""Nicht auf Lager""-Status"
"Missing SKU, skipping the record.","Fehlende Artikelnummer, Eintrag übersprungen."
"More Views","Mehr Ansichten"
"Move","Verschieben"
"Move category in tree","Verschieben der Kategorie in den Verzeichnisbaum"
"Multi update product","Artikel mit Mehrfach-Aktualisierung"
"Must be in the allowed values list.","Muss in der Liste erlaubter Werte enthalten sein."
"My Account","Mein Konto"
"N/A","Keine Angabe"
"Name","Name"
"Name in %s","Name in %s"
"New Product","Neuer Artikel"
"New Product Attribute","Neues Artikelmerkmal"
"New Products","Neue Artikel"
"New Products Grid Template","Neue-Artikel-Gittervorlage"
"New Products List Template","Neue-Artikel-Listenvorlage"
"New Root Category","Neue Hauptkategorie"
"New Search","Neue Suche"
"New Set Name","Neuer Gruppenname"
"New Subcategory","Neue Unterkategorie"
"New products","Neue Artikel"
"Next","Vor"
"No","Nein"
"No image","Kein Bild"
"No layout updates","Keine Layout-Änderungen"
"No options of this product are available.","Für diesen Artikel sind keine Optionen verfügbar."
"No product collections found.","Keine Artikel Kollektionen gefunden."
"None","keine"
"Not Visible Individually","Einzeln nicht sichtbar"
"Notify Low Stock RSS","Lagerbestand RSS"
"Notify for Quantity Below","Hinweis bei Lagerbestand unter"
"Nowhere","Nirgendwo"
"Number of Products per Page","Anzahl der Artikel pro Seite"
"Number of Products to Display","Anzahl der Artikel, die angezeigt werden sollen"
"Number of Uses","Anzahl an Verwendungen"
"Number of results","Ergebnisse"
